misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
36860,17693280,164,22.033912580000003,0.9170657396316528,0.004681756068021059,11.995056965947152
36880,17702880,164,24.11643525,0.9170924544334411,0.01509388096164912,6.527035558223725
36900,17712480,164,20.58209517,0.9175643861293793,-0.006586339883506298,0.4045387640595436
36920,17722080,164,22.41926489,0.9176393985748291,0.01026996374130249,2.5282413601875304
36940,17731680,164,24.92683161,0.916549289226532,-0.0013864241540431977,1.0163639605045318
36960,17741280,164,20.69325364,0.9163851261138916,-0.010106807947158814,1.0780456781387329
36980,17750880,164,23.3005123,0.9147847294807434,-0.011704582395032049,0.5103231936693191
37000,17760480,164,19.72393796,0.9150450646877288,-0.004304308630526066,0.6713757902383805
37020,17770080,164,22.33615597,0.9145267486572266,0.0031065106391906737,7.270599120855332
37040,17779680,164,19.85994806,0.9144719064235687,-0.011144610960036517,11.707222783565522
37060,17789280,164,23.18447818,0.9138767898082734,-0.01346052112057805,0.4479622051119804
37080,17798880,164,22.240270839999997,0.9129892528057099,-0.01512192189693451,6.454388949275017
37100,17808480,164,22.06156245999999,0.9138346254825592,0.003915763646364212,5.077226098626852
37120,17818080,164,19.31298814,0.9144335687160492,-0.009134913235902787,0.7364841729402543
37140,17827680,164,22.23566788,0.9142174005508423,-0.0027818907052278518,5.834662771224975
37160,17837280,164,22.24972859,0.9143442690372467,-0.004428388830274343,1.5517164409160613
37180,17846880,164,22.121126190000005,0.9136326849460602,0.007628198293969035,13.49205813407898
37200,17856480,164,23.444365490000006,0.9147601187229156,-0.01458422765135765,0.1408965289592743
37220,17866080,164,25.012623670000004,0.9141072154045105,8.676651632413268e-05,1.9372903436422348
37240,17875680,164,24.4496162,0.9138891935348511,-0.003900784254074097,4.394501668214798
37260,17885280,164,20.01170823,0.9133851647377014,-0.006515674293041229,6.988899971544742
37280,17894880,164,22.04174681000001,0.9136020958423614,-0.0017738955095410347,12.443596096336842
37300,17904480,164,23.967644780000004,0.9135371029376984,-0.006795896589756012,10.150438840687276
37320,17914080,164,23.30351664,0.9127960622310638,-0.010268082469701767,6.399972212314606
37340,17923680,164,22.16416247,0.91285400390625,-0.006494121998548508,6.052783507108688
37360,17933280,164,22.93630153,0.9121072828769684,-0.010896120220422745,0.2737437397241592
37380,17942880,164,24.16332858,0.9123853504657745,-0.004750150628387928,0.25255877859890463
37400,17952480,164,24.129581460000004,0.9131527245044708,-0.010163813550025224,4.241740930080414
37420,17962080,164,24.53030464,0.9122691094875336,-0.0003329432103782892,5.871556463837623
37440,17971680,164,24.800973709999997,0.9118595123291016,-0.013701919466257095,3.825649952888489
37460,17981280,164,24.09387554,0.9114128768444061,0.00429317532107234,14.433555239439011
37480,17990880,164,24.813725859999998,0.9120413303375244,-0.010338987037539483,0.2307820774614811
37500,18000480,164,24.500895430000003,0.9112645864486695,0.0015346735715866088,9.377176466584206
37520,18010080,164,23.991785049999997,0.9098627686500549,-0.01124042049050331,0.3825421169400215
37540,18019680,164,27.411886380000002,0.9093027770519256,-0.002171883499249816,0.2596668884158134
37560,18029280,164,26.98977077,0.9095392167568207,0.013525783643126487,0.46925353482365606
37580,18038880,164,26.641939390000008,0.9092820167541504,-0.01656805807724595,0.25046569406986235
37600,18048480,164,24.20091648,0.9082903921604156,-0.00646945908665657,0.7024901375174523
37620,18058080,164,23.997542499999998,0.9076008379459382,-0.01171878770692274,20.89115352630615
37640,18067680,164,25.519331939999997,0.9068612635135651,0.013123974204063416,0.35079874843358994
37660,18077280,163,24.693889719999994,0.9066998362541199,-0.021044950187206268,0.41370310336351396
37680,18086880,163,21.9475039,0.9065893769264222,-0.0094452821649611,12.914253947138786
37700,18096480,163,24.320395940000004,0.9074013113975525,0.005897906422615051,7.86947714984417
37720,18106080,163,23.484089260000005,0.9071161091327667,-0.0051763512194156645,6.517687106132508
37740,18115680,163,23.72786711,0.9073882400989532,-0.010234740376472474,0.394054863601923
